seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31913,2025,5217,Antonio Reeves,NA,SG,24,1,NBA,NOP,44,6,660,6.2,13.5,0.456,2.8,7,0.395,3.4,6.5,0.521,1.5,1.9,0.8,1,2.5,3.4,2.1,1.1,0.2,1.6,2.2,16.6
31914,2025,5218,Ariel Hukporti,NA,C,22,1,NBA,NYK,25,1,217,3.5,5.1,0.677,0,0,NA,3.5,5.1,0.677,1,2.2,0.462,2.3,6.1,8.5,1.8,0.2,2.5,3.5,5.3,8
31915,2025,5219,Armel Traoré,NA,SF,22,1,NBA,LAL,9,0,67,3.2,10.2,0.316,0,3.8,0,3.2,6.4,0.5,1.1,3.8,0.286,1.1,7,8.1,0.5,2.1,1.1,1.6,3.2,7.5
31916,2025,5117,Ausar Thompson,NA,SF,22,2,NBA,DET,59,48,1328,6.7,12.5,0.535,0.3,1.3,0.224,6.4,11.1,0.572,2.5,3.8,0.641,3,5.2,8.2,3.6,2.7,1.1,2.2,4.4,16.1
31917,2025,4906,Austin Reaves,NA,SG,26,4,NBA,LAL,73,73,2550,6.7,14.6,0.46,2.8,7.5,0.377,3.9,7.1,0.547,4.5,5.2,0.877,0.9,3.8,4.6,5.9,1.1,0.3,2.5,2.1,20.8
31918,2025,4907,Ayo Dosunmu,NA,SG,25,4,NBA,CHI,46,26,1394,5.7,11.6,0.492,1.6,4.9,0.328,4.1,6.7,0.612,1.6,2,0.785,0.7,3.5,4.2,5.4,1.1,0.5,1.8,2.7,14.6
31919,2025,4472,Bam Adebayo,NA,C,27,8,NBA,MIA,78,78,2674,7.3,15,0.485,1.1,3,0.357,6.2,12,0.517,3.4,4.4,0.765,2.5,7.6,10.1,4.5,1.3,0.7,2.2,2.2,19
31920,2025,5220,Baylor Scheierman,NA,SG,24,1,NBA,BOS,31,2,384,3.7,10.3,0.355,2.4,7.7,0.317,1.2,2.6,0.464,0.8,1.1,0.75,1.8,4.3,6.1,3.1,1.6,0.2,1.1,2.1,10.6
31921,2025,5118,Ben Sheppard,NA,SG,23,2,NBA,IND,63,9,1228,3.5,8.4,0.418,2,5.8,0.342,1.5,2.6,0.591,0.7,0.8,0.889,1.3,3.9,5.2,2.5,1.1,0.4,0.6,3.7,9.7
31922,2025,4474,Ben Simmons,NA,PG,28,7,NBA,TOT,51,24,1120,3.7,7.2,0.52,0,0,NA,3.7,7.2,0.52,0.8,1.1,0.727,1.5,6.2,7.7,9.2,1.2,0.7,3.3,3.4,8.2
31923,2025,4474,Ben Simmons,NA,PG,28,7,NBA,BRK,33,24,825,4.1,7.4,0.547,0,0,NA,4.1,7.4,0.547,0.8,1.1,0.692,1.3,6.2,7.5,10,1.1,0.7,3.8,3.5,8.9
31924,2025,4474,Ben Simmons,NA,PG,28,7,NBA,LAC,18,0,295,2.8,6.5,0.434,0,0,NA,2.8,6.5,0.434,0.7,0.9,0.857,2.1,6.3,8.4,6.8,1.5,0.9,1.7,3.2,6.3
31925,2025,5030,Bennedict Mathurin,NA,SF,22,3,NBA,IND,72,49,2149,6.6,14.3,0.458,1.6,4.8,0.34,4.9,9.5,0.519,4.6,5.6,0.831,1.5,5,6.4,2.3,0.8,0.4,2.3,2.7,19.4
31926,2025,5119,Bilal Coulibaly,NA,SF,20,2,NBA,WAS,59,59,1948,4.9,11.5,0.421,1.2,4.1,0.281,3.7,7.4,0.5,2.6,3.4,0.746,1.7,3.8,5.4,3.7,1.4,0.8,2.3,2.6,13.4
31927,2025,3984,Bismack Biyombo,NA,C,32,14,NBA,SAS,28,26,528,4.6,7.8,0.588,0,0,NA,4.6,7.8,0.588,0.7,1.7,0.4,2.9,7.8,10.8,2.1,1.1,1.6,1.8,3.5,9.8
31928,2025,5031,Blake Wesley,NA,SG,21,3,NBA,SAS,58,0,683,4.3,9.8,0.435,0.9,3.1,0.293,3.4,6.7,0.5,2,3.2,0.623,0.9,2.3,3.2,6,2,0.3,2.8,2.4,11.4
31929,2025,4307,Bobby Portis,NA,PF,29,10,NBA,MIL,49,7,1244,8,17.2,0.466,1.9,5.2,0.365,6.1,12.1,0.508,1.8,2.1,0.836,2.6,9.3,11.9,3,1,0.8,1.6,2.7,19.7
31930,2025,5221,Bobi Klintman,NA,SF,21,1,NBA,DET,8,0,42,5.1,8.6,0.6,1.7,4.3,0.4,3.4,4.3,0.8,0.9,1.7,0.5,0.9,5.1,6,6,1.7,0.9,0.9,6.9,12.9
31931,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,TOT,54,4,1348,5.6,13.1,0.427,2.8,7.7,0.363,2.8,5.4,0.517,1.5,1.8,0.879,0.6,3.6,4.2,3.9,1.1,0.3,2,3.4,15.6
31932,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,ATL,24,0,598,5,13.5,0.371,2.6,8.8,0.301,2.3,4.7,0.5,1.8,2,0.882,0.7,3.3,4,2.9,1.2,0.4,2.2,3.4,14.4
31933,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,LAC,30,4,750,6.1,12.9,0.474,2.9,6.9,0.427,3.2,6,0.528,1.3,1.5,0.875,0.6,3.9,4.5,4.7,1,0.2,1.8,3.4,16.5
31934,2025,4692,Bol Bol,NA,PF,25,6,NBA,PHO,36,10,448,7.7,14.7,0.525,2.6,7.5,0.344,5.1,7.2,0.711,1.6,2.1,0.769,1.6,6.8,8.4,1.8,0.7,2,1.6,1.6,19.6
31935,2025,4908,Bones Hyland,NA,PG,24,4,NBA,TOT,24,0,239,7.1,17.8,0.398,4.8,12.4,0.39,2.3,5.4,0.417,3.5,3.9,0.885,0.8,3,3.8,4.8,2.7,0.6,3.8,4.4,22.4
31936,2025,4908,Bones Hyland,NA,PG,24,4,NBA,LAC,20,0,222,7.3,18.6,0.391,5,13,0.388,2.3,5.7,0.4,3.7,4.2,0.885,0.8,3.1,3.9,4.5,2.9,0.6,3.9,4.2,23.4
31937,2025,4908,Bones Hyland,NA,PG,24,4,NBA,MIN,4,0,17,4.2,6.4,0.667,2.1,4.2,0.5,2.1,2.1,1,0,0,NA,0,2.1,2.1,8.5,0,0,2.1,6.4,10.6
31938,2025,4072,Bradley Beal,NA,SG,31,13,NBA,PHO,53,38,1702,7.3,14.7,0.497,2.2,5.6,0.386,5.1,9.1,0.565,2.3,2.9,0.803,0.7,3,3.7,4.1,1.2,0.6,2.1,2.9,19.1
31939,2025,5222,Branden Carlson,NA,C,25,1,NBA,OKC,32,0,246,6.3,14.2,0.443,3.2,9.7,0.333,3.1,4.5,0.677,2,2.6,0.778,2.5,5.4,7.9,2,0.7,3.1,1,3.2,17.9
31940,2025,5120,Brandin Podziemski,NA,SG,21,2,NBA,GSW,64,33,1716,5.9,13.2,0.445,2.4,6.5,0.372,3.5,6.7,0.516,1.5,2,0.758,1.4,5.5,6.8,4.6,1.4,0.3,1.6,2,15.7
31941,2025,4909,Brandon Boston Jr.,NA,SG,23,4,NBA,NOP,42,10,993,6,13.8,0.436,1.8,5.1,0.35,4.2,8.7,0.485,2.4,3.1,0.788,1,3.8,4.9,3.3,1.9,0.3,1.9,2.6,16.2
31942,2025,4693,Brandon Clarke,NA,PF,28,6,NBA,MEM,64,18,1207,7,11.3,0.621,0,0.5,0.059,7,10.8,0.647,1.8,2.6,0.701,3.8,5.9,9.7,2,1.6,1.1,1.2,4.3,15.9
31943,2025,4378,Brandon Ingram,NA,SF,27,9,NBA,NOP,18,18,595,9.4,20.1,0.465,2.6,7,0.374,6.8,13.2,0.514,2.8,3.3,0.855,1,5,6.1,5.6,1,0.7,4.2,2.7,24.2
31944,2025,5121,Brandon Miller,NA,SF,22,2,NBA,CHO,27,27,924,7.7,19.1,0.403,4.1,11.4,0.355,3.7,7.7,0.475,2.6,3.1,0.861,1,4.1,5.1,3.8,1.1,0.8,3,2.9,22.1
31945,2025,4910,Brandon Williams,1999,PG,25,3,NBA,DAL,33,3,487,7.2,13.9,0.521,1.8,4.4,0.4,5.5,9.5,0.578,4.1,4.9,0.833,0.9,3.4,4.3,5.6,1.8,0.4,2.9,2.4,20.3
31946,2025,4911,Braxton Key,NA,SF,27,4,NBA,GSW,3,0,11,0,13.1,0,0,3.3,0,0,9.8,0,9.8,19.6,0.5,3.3,3.3,6.5,0,6.5,0,3.3,0,9.8
31947,2025,5122,Brice Sensabaugh,NA,SF,21,2,NBA,UTA,71,15,1432,6.9,15.1,0.459,3.9,9.4,0.422,3,5.7,0.52,1.6,1.8,0.89,1.1,4.2,5.3,2.8,1.2,0.2,2.7,2.8,19.4
31948,2025,5223,Bronny James,NA,SG,20,1,NBA,LAL,27,1,181,4.2,13.3,0.313,1.8,6.4,0.281,2.4,7,0.343,2.2,2.8,0.786,0.8,2.8,3.6,4.4,1.8,0.6,2.6,2.6,12.3
31949,2025,3801,Brook Lopez,NA,C,36,17,NBA,MIL,80,80,2546,5.6,10.9,0.509,2,5.3,0.373,3.6,5.7,0.636,1.6,2,0.826,1.6,4.1,5.7,2,0.7,2.1,1.2,2.4,14.7
